X,Y
328.500,322.000
328.301,320.527
328.243,318.952
328.326,317.288
328.549,315.544
328.910,313.732
329.409,311.863
330.043,309.949
330.812,308.000
331.715,306.028
332.749,304.043
333.912,302.055
335.190,300.068
336.571,298.085
338.041,296.110
339.589,294.147
341.201,292.199
342.864,290.270
344.565,288.364
346.292,286.484
348.032,284.633
349.772,282.816
351.498,281.036
353.199,279.297
354.866,277.600
356.504,275.939
358.122,274.308
359.728,272.700
361.330,271.109
362.935,269.528
364.552,267.950
366.188,266.368
367.853,264.777
369.553,263.168
371.297,261.537
373.092,259.875
374.946,258.177
376.857,256.444
378.817,254.679
380.819,252.886
382.858,251.067
384.927,249.227
387.018,247.368
389.125,245.495
391.241,243.611
393.360,241.718
395.474,239.822
397.578,237.924
399.664,236.029
401.726,234.141
403.757,232.261
405.753,230.395
407.719,228.544
409.661,226.711
411.585,224.899
413.498,223.111
415.405,221.349
417.312,219.616
419.227,217.915
421.154,216.248
423.099,214.619
425.070,213.029
427.072,211.481
429.112,209.979
431.194,208.524
433.323,207.118
435.497,205.756
437.712,204.436
439.967,203.155
442.260,201.908
444.588,200.693
446.950,199.506
449.342,198.343
451.762,197.202
454.209,196.079
456.680,194.970
459.172,193.871
461.684,192.781
464.213,191.695
466.756,190.614
469.310,189.550
471.870,188.512
474.434,187.512
476.996,186.561
479.553,185.669
482.102,184.849
484.638,184.110
487.157,183.464
489.656,182.922
492.131,182.495
494.578,182.193
496.993,182.029
499.372,182.012
501.709,182.146
503.993,182.426
506.214,182.846
508.360,183.398
510.421,184.077
512.387,184.875
514.247,185.786
515.991,186.803
517.607,187.921
519.084,189.132
520.414,190.429
521.593,191.810
522.634,193.271
523.552,194.814
524.359,196.436
525.070,198.138
525.699,199.918
526.259,201.776
526.764,203.711
527.228,205.723
527.665,207.810
528.081,209.967
528.474,212.184
528.842,214.448
529.180,216.749
529.487,219.073
529.759,221.410
529.994,223.748
530.187,226.076
530.337,228.381
530.440,230.653
530.494,232.879
530.495,235.048
530.444,237.154
530.349,239.200
530.218,241.194
530.060,243.139
529.882,245.041
529.692,246.906
529.501,248.739
529.314,250.546
529.142,252.331
528.992,254.101
528.872,255.857
528.789,257.587
528.749,259.279
528.759,260.919
528.824,262.493
528.951,263.987
529.147,265.388
529.417,266.683
529.764,267.861
530.153,268.952
530.531,270.005
530.844,271.068
531.037,272.192
531.058,273.424
530.854,274.813
530.429,276.364
529.828,278.051
529.100,279.847
528.291,281.723
527.450,283.652
526.624,285.607
525.860,287.559
525.207,289.482
524.712,291.347
524.422,293.127
524.345,294.811
524.432,296.411
524.632,297.939
524.891,299.410
525.157,300.838
525.377,302.235
525.498,303.615
525.469,304.992
525.267,306.379
524.913,307.789
524.429,309.236
523.840,310.733
523.170,312.292
522.442,313.927
521.680,315.651
520.908,317.478
520.150,319.419
519.413,321.463
518.693,323.573
517.982,325.711
517.274,327.839
516.562,329.917
515.839,331.909
515.099,333.776
514.334,335.479
513.538,336.980
512.704,338.241
511.824,339.229
510.881,339.966
509.853,340.497
508.719,340.870
507.457,341.131
506.045,341.327
504.462,341.504
502.694,341.700
500.762,341.918
498.691,342.151
496.509,342.394
494.242,342.642
491.918,342.889
489.564,343.130
487.206,343.358
484.871,343.569
482.587,343.757
480.380,343.915
478.277,344.039
476.289,344.132
474.406,344.208
472.615,344.283
470.905,344.374
469.263,344.496
467.676,344.664
466.133,344.896
464.621,345.206
463.127,345.611
461.642,346.116
460.159,346.706
458.672,347.364
457.177,348.072
455.667,348.814
454.136,349.571
452.580,350.327
450.992,351.065
449.366,351.766
447.701,352.422
445.999,353.030
444.262,353.590
442.495,354.102
440.698,354.564
438.877,354.976
437.032,355.338
435.167,355.649
433.286,355.908
431.389,356.115
429.476,356.273
427.541,356.388
425.579,356.466
423.584,356.513
421.551,356.536
419.474,356.541
417.349,356.534
415.168,356.520
412.927,356.507
410.621,356.499
408.245,356.504
405.803,356.523
403.312,356.554
400.787,356.594
398.244,356.641
395.699,356.693
393.167,356.747
390.665,356.802
388.207,356.854
385.811,356.902
383.491,356.943
381.263,356.975
379.144,356.996
377.147,357.003
375.272,356.996
373.509,356.972
371.848,356.933
370.280,356.877
368.794,356.803
367.381,356.711
366.031,356.601
364.733,356.471
363.476,356.318
362.246,356.132
361.028,355.899
359.807,355.609
358.567,355.250
357.293,354.810
355.972,354.278
354.603,353.650
353.207,352.930
351.808,352.124
350.425,351.239
349.083,350.281
347.804,349.255
346.608,348.167
345.520,347.023
344.553,345.830
343.690,344.601
342.907,343.348
342.179,342.086
341.479,340.828
340.783,339.587
340.066,338.378
339.303,337.212
338.480,336.098
337.609,335.027
336.704,333.991
335.778,332.980
334.845,331.987
333.918,331.001
333.012,330.014
332.141,329.016
331.319,327.993
330.562,326.932
329.886,325.816
329.307,324.632
328.840,323.365
328.500,322.000
