X,Y
78.140,81.163
78.379,80.897
78.671,80.658
79.010,80.442
79.391,80.247
79.807,80.071
80.254,79.910
80.726,79.763
81.216,79.626
81.720,79.497
82.231,79.373
82.744,79.252
83.254,79.131
83.758,79.009
84.255,78.888
84.748,78.769
85.236,78.653
85.720,78.542
86.201,78.438
86.680,78.341
87.156,78.254
87.632,78.177
88.107,78.112
88.581,78.061
89.057,78.024
89.534,78.003
90.012,77.998
90.491,78.006
90.972,78.026
91.454,78.057
91.937,78.098
92.421,78.147
92.906,78.203
93.392,78.264
93.879,78.330
94.367,78.398
94.856,78.468
95.345,78.538
95.836,78.608
96.327,78.679
96.820,78.752
97.314,78.828
97.809,78.907
98.306,78.991
98.806,79.081
99.307,79.176
99.810,79.278
100.315,79.388
100.824,79.507
101.334,79.635
101.848,79.774
102.363,79.922
102.880,80.081
103.397,80.249
103.913,80.426
104.427,80.612
104.938,80.806
105.446,81.009
105.949,81.220
106.447,81.439
106.938,81.665
107.422,81.898
107.897,82.137
108.363,82.383
108.819,82.636
109.266,82.895
109.704,83.162
110.133,83.437
110.555,83.721
110.969,84.014
111.376,84.317
111.777,84.630
112.171,84.955
112.561,85.292
112.945,85.641
113.326,86.002
113.702,86.378
114.074,86.767
114.439,87.168
114.796,87.581
115.141,88.003
115.473,88.435
115.788,88.873
116.085,89.317
116.361,89.767
116.613,90.219
116.840,90.674
117.039,91.130
117.207,91.585
117.342,92.039
117.444,92.491
117.514,92.939
117.557,93.385
117.575,93.829
117.573,94.270
117.554,94.709
117.522,95.145
117.479,95.580
117.429,96.012
117.377,96.442
117.324,96.870
117.275,97.296
117.228,97.722
117.181,98.147
117.133,98.574
117.083,99.003
117.029,99.434
116.969,99.870
116.902,100.311
116.827,100.758
116.741,101.212
116.644,101.674
116.533,102.145
116.410,102.624
116.274,103.108
116.126,103.598
115.967,104.090
115.796,104.584
115.615,105.078
115.425,105.570
115.225,106.059
115.016,106.543
114.799,107.020
114.574,107.489
114.341,107.948
114.102,108.396
113.857,108.834
113.607,109.261
113.352,109.679
113.093,110.089
112.832,110.491
112.567,110.887
112.302,111.278
112.035,111.663
111.769,112.045
111.503,112.423
111.238,112.800
110.975,113.175
110.714,113.548
110.454,113.920
110.192,114.289
109.929,114.654
109.662,115.016
109.390,115.374
109.113,115.727
108.830,116.074
108.538,116.416
108.237,116.750
107.925,117.078
107.603,117.398
107.270,117.712
106.927,118.020
106.575,118.323
106.214,118.622
105.844,118.918
105.467,119.211
105.082,119.503
104.691,119.794
104.294,120.084
103.890,120.376
103.482,120.669
103.069,120.964
102.653,121.258
102.235,121.548
101.815,121.833
101.396,122.110
100.978,122.376
100.561,122.630
100.148,122.869
99.740,123.090
99.336,123.291
98.940,123.470
98.550,123.625
98.170,123.753
97.796,123.855
97.430,123.930
97.070,123.979
96.714,124.002
96.364,123.999
96.017,123.969
95.673,123.914
95.331,123.832
94.990,123.725
94.652,123.595
94.317,123.442
93.986,123.270
93.661,123.080
93.341,122.874
93.028,122.653
92.722,122.421
92.426,122.179
92.138,121.928
91.860,121.669
91.590,121.402
91.327,121.126
91.070,120.842
90.817,120.548
90.567,120.244
90.320,119.930
90.073,119.605
89.827,119.269
89.580,118.922
89.331,118.563
89.081,118.192
88.830,117.809
88.578,117.414
88.325,117.006
88.072,116.586
87.818,116.153
87.563,115.706
87.308,115.247
87.053,114.773
86.798,114.286
86.543,113.785
86.288,113.271
86.034,112.744
85.779,112.207
85.525,111.659
85.271,111.103
85.016,110.540
84.762,109.971
84.509,109.398
84.255,108.821
84.001,108.242
83.747,107.663
83.494,107.084
83.240,106.507
82.987,105.933
82.733,105.364
82.480,104.801
82.227,104.244
81.976,103.697
81.728,103.159
81.484,102.632
81.244,102.118
81.009,101.617
80.781,101.132
80.561,100.664
80.348,100.213
80.146,99.782
79.953,99.371
79.772,98.983
79.603,98.617
79.448,98.274
79.305,97.948
79.176,97.631
79.061,97.320
78.960,97.007
78.873,96.686
78.801,96.352
78.744,95.999
78.702,95.620
78.673,95.215
78.655,94.789
78.645,94.345
78.640,93.888
78.636,93.424
78.630,92.955
78.620,92.487
78.602,92.024
78.574,91.571
78.531,91.132
78.472,90.711
78.395,90.311
78.305,89.930
78.205,89.565
78.102,89.212
77.998,88.870
77.898,88.535
77.808,88.205
77.731,87.876
77.673,87.547
77.635,87.214
77.616,86.877
77.611,86.536
77.617,86.190
77.630,85.838
77.646,85.481
77.661,85.118
77.672,84.749
77.674,84.372
77.667,83.990
77.656,83.604
77.650,83.220
77.656,82.841
77.682,82.471
77.736,82.115
77.825,81.775
77.957,81.456
78.140,81.163
