X	Y
339.000	210.000
339.757	209.659
340.779	209.391
342.055	209.193
343.569	209.063
345.309	208.998
347.262	208.994
349.414	209.050
351.752	209.161
354.262	209.325
356.933	209.539
359.749	209.801
362.698	210.106
365.767	210.453
368.942	210.839
372.210	211.260
375.557	211.713
378.971	212.197
382.438	212.706
385.945	213.240
389.479	213.795
393.025	214.368
396.572	214.956
400.105	215.556
403.611	216.165
407.078	216.780
410.491	217.399
413.838	218.019
417.105	218.636
420.278	219.248
423.354	219.853
426.336	220.451
429.230	221.041
432.040	221.624
434.773	222.200
437.432	222.768
440.024	223.328
442.554	223.881
445.027	224.426
447.448	224.963
449.822	225.493
452.155	226.014
454.452	226.527
456.718	227.032
458.958	227.528
461.178	228.016
463.382	228.496
465.577	228.967
467.766	229.429
469.956	229.883
472.152	230.328
474.359	230.764
476.582	231.191
478.826	231.608
481.097	232.017
483.397	232.417
485.726	232.810
488.078	233.198
490.451	233.583
492.839	233.968
495.240	234.355
497.650	234.745
500.064	235.142
502.480	235.547
504.893	235.963
507.299	236.391
509.695	236.834
512.077	237.295
514.441	237.774
516.783	238.275
519.099	238.799
521.387	239.350
523.641	239.928
525.858	240.536
528.035	241.177
530.167	241.852
532.250	242.564
534.282	243.315
536.257	244.107
538.172	244.941
540.020	245.817
541.795	246.734
543.488	247.689
545.093	248.683
546.604	249.713
548.014	250.779
549.314	251.879
550.500	253.012
551.563	254.177
552.497	255.373
553.294	256.598
553.949	257.852
554.454	259.132
554.801	260.439
554.985	261.769
555.000	263.123
554.851	264.498
554.548	265.891
554.099	267.298
553.516	268.718
552.806	270.146
551.980	271.581
551.047	273.019
550.018	274.457
548.900	275.892
547.704	277.322
546.440	278.744
545.117	280.154
543.744	281.550
542.331	282.928
540.887	284.286
539.423	285.622
537.946	286.931
536.460	288.214
534.964	289.470
533.457	290.700
531.937	291.904
530.404	293.082
528.857	294.235
527.294	295.362
525.716	296.464
524.120	297.542
522.506	298.594
520.873	299.623
519.220	300.627
517.546	301.607
515.850	302.563
514.131	303.496
512.388	304.406
510.620	305.293
508.826	306.156
507.005	306.998
505.157	307.817
503.283	308.614
501.385	309.391
499.465	310.148
497.526	310.887
495.568	311.608
493.595	312.311
491.608	312.999
489.608	313.671
487.599	314.329
485.582	314.974
483.559	315.607
481.531	316.227
479.502	316.837
477.473	317.438
475.446	318.029
473.423	318.613
471.405	319.189
469.396	319.759
467.397	320.324
465.409	320.885
463.436	321.441
461.475	321.992
459.527	322.533
457.589	323.062
455.660	323.574
453.740	324.066
451.826	324.536
449.917	324.979
448.012	325.392
446.110	325.772
444.210	326.116
442.309	326.419
440.407	326.679
438.503	326.892
436.595	327.055
434.681	327.164
432.761	327.216
430.833	327.207
428.895	327.135
426.947	326.995
424.988	326.786
423.018	326.510
421.041	326.170
419.056	325.769
417.066	325.311
415.073	324.800
413.078	324.238
411.083	323.629
409.090	322.976
407.100	322.283
405.114	321.553
403.136	320.789
401.166	319.995
399.206	319.174
397.257	318.329
395.322	317.464
393.402	316.582
391.499	315.687
389.614	314.781
387.749	313.869
385.906	312.953
384.087	312.036
382.296	311.114
380.537	310.186
378.815	309.246
377.134	308.291
375.498	307.319
373.912	306.325
372.379	305.306
370.906	304.259
369.495	303.179
368.151	302.065
366.878	300.911
365.681	299.714
364.565	298.472
363.532	297.179
362.589	295.834
361.739	294.433
360.986	292.971
360.333	291.448
359.771	289.868
359.290	288.238
358.880	286.565
358.530	284.855
358.230	283.116
357.971	281.355
357.740	279.577
357.529	277.789
357.327	275.999
357.123	274.213
356.908	272.438
356.671	270.680
356.401	268.947
356.089	267.244
355.724	265.580
355.295	263.960
354.794	262.391
354.217	260.874
353.574	259.403
352.873	257.971
352.126	256.570
351.340	255.195
350.526	253.838
349.693	252.492
348.850	251.151
348.008	249.807
347.175	248.453
346.361	247.083
345.576	245.690
344.829	244.266
344.130	242.806
343.488	241.301
342.912	239.746
342.409	238.137
341.972	236.485
341.595	234.799
341.270	233.092
340.991	231.373
340.752	229.654
340.544	227.946
340.361	226.259
340.197	224.606
340.043	222.996
339.894	221.440
339.742	219.950
339.580	218.537
339.402	217.211
339.201	215.984
338.969	214.866
338.712	213.864
338.468	212.974
338.282	212.191
338.198	211.508
338.260	210.919
338.513	210.418
339.000	210.000
