X,Y
824.333,533.667
825.221,533.214
826.533,533.014
828.179,533.005
830.071,533.126
832.120,533.313
834.235,533.505
836.329,533.639
838.311,533.655
840.143,533.524
841.858,533.270
843.497,532.920
845.100,532.504
846.707,532.048
848.359,531.582
850.097,531.133
851.957,530.727
853.945,530.370
856.046,530.051
858.245,529.762
860.525,529.493
862.872,529.236
865.271,528.981
867.706,528.719
870.161,528.442
872.622,528.139
875.074,527.802
877.512,527.430
879.940,527.030
882.361,526.606
884.780,526.165
887.200,525.712
889.626,525.254
892.061,524.795
894.509,524.342
896.974,523.900
899.461,523.476
901.971,523.075
904.503,522.696
907.050,522.338
909.605,521.997
912.161,521.670
914.710,521.353
917.248,521.044
919.765,520.740
922.256,520.438
924.713,520.134
927.130,519.825
929.499,519.509
931.820,519.187
934.095,518.863
936.326,518.544
938.519,518.235
940.675,517.941
942.797,517.667
944.890,517.420
946.956,517.204
948.999,517.026
951.022,516.889
953.040,516.799
955.067,516.757
957.119,516.767
959.214,516.832
961.366,516.955
963.593,517.139
965.909,517.387
968.331,517.702
970.876,518.086
973.534,518.543
976.249,519.071
978.953,519.671
981.581,520.341
984.068,521.082
986.347,521.893
988.354,522.773
990.023,523.723
991.288,524.741
992.083,525.827
992.386,526.982
992.283,528.207
991.881,529.504
991.284,530.875
990.597,532.322
989.927,533.846
989.343,535.446
988.816,537.098
988.300,538.780
987.748,540.469
987.114,542.140
986.351,543.770
985.414,545.336
984.255,546.813
982.856,548.192
981.244,549.485
979.447,550.703
977.495,551.861
975.416,552.970
973.240,554.044
970.996,555.096
968.713,556.138
966.420,557.184
964.147,558.246
961.913,559.331
959.714,560.432
957.546,561.539
955.405,562.646
953.286,563.743
951.183,564.822
949.093,565.873
947.010,566.890
944.929,567.863
942.845,568.783
940.755,569.643
938.656,570.441
936.546,571.177
934.425,571.852
932.293,572.467
930.147,573.021
927.987,573.517
925.813,573.954
923.622,574.334
921.415,574.656
919.189,574.922
916.946,575.133
914.683,575.292
912.401,575.398
910.099,575.455
907.777,575.464
905.434,575.426
903.069,575.343
900.683,575.216
898.274,575.048
895.843,574.841
893.393,574.596
890.931,574.319
888.462,574.012
885.993,573.680
883.530,573.326
881.078,572.954
878.644,572.569
876.234,572.172
873.854,571.770
871.510,571.364
869.208,570.958
866.959,570.542
864.772,570.107
862.659,569.641
860.629,569.133
858.694,568.571
856.864,567.946
855.149,567.246
853.561,566.460
852.105,565.579
850.770,564.615
849.534,563.585
848.375,562.507
847.273,561.398
846.206,560.277
845.153,559.161
844.096,558.064
843.043,556.985
842.007,555.915
841.004,554.845
840.050,553.765
839.160,552.667
838.348,551.541
837.598,550.400
836.850,549.277
836.046,548.210
835.125,547.236
834.027,546.392
832.693,545.712
831.152,545.190
829.521,544.770
827.928,544.393
826.496,544.000
825.350,543.533
824.616,542.934
824.350,542.174
824.401,541.318
824.582,540.447
824.707,539.639
824.690,538.898
824.554,538.150
824.328,537.315
824.061,536.349
823.877,535.339
823.920,534.405
824.333,533.667
