X,Y
65.725,137.283
65.758,137.271
65.796,137.265
65.837,137.264
65.882,137.268
65.930,137.276
65.981,137.289
66.034,137.306
66.091,137.327
66.150,137.351
66.211,137.379
66.274,137.410
66.339,137.444
66.406,137.480
66.474,137.519
66.544,137.560
66.614,137.603
66.686,137.647
66.758,137.693
66.830,137.740
66.903,137.788
66.976,137.836
67.049,137.885
67.122,137.934
67.194,137.983
67.265,138.031
67.335,138.079
67.405,138.127
67.474,138.174
67.542,138.220
67.609,138.266
67.675,138.311
67.741,138.356
67.807,138.400
67.872,138.445
67.936,138.489
68.000,138.532
68.064,138.576
68.128,138.619
68.192,138.662
68.255,138.705
68.318,138.749
68.382,138.792
68.446,138.835
68.509,138.878
68.573,138.922
68.638,138.965
68.702,139.009
68.768,139.053
68.833,139.098
68.899,139.142
68.966,139.188
69.033,139.233
69.102,139.279
69.171,139.326
69.240,139.373
69.311,139.421
69.383,139.469
69.455,139.518
69.527,139.568
69.601,139.618
69.675,139.668
69.749,139.719
69.823,139.771
69.898,139.823
69.973,139.876
70.048,139.929
70.123,139.982
70.197,140.036
70.272,140.091
70.347,140.146
70.421,140.201
70.495,140.257
70.568,140.313
70.641,140.370
70.713,140.427
70.784,140.484
70.855,140.542
70.925,140.600
70.993,140.658
71.061,140.717
71.128,140.776
71.194,140.836
71.258,140.895
71.321,140.956
71.382,141.016
71.443,141.077
71.501,141.138
71.558,141.199
71.613,141.260
71.667,141.322
71.719,141.384
71.770,141.447
71.818,141.509
71.866,141.572
71.912,141.636
71.956,141.699
71.999,141.763
72.040,141.828
72.080,141.893
72.118,141.958
72.155,142.024
72.191,142.090
72.225,142.156
72.257,142.223
72.289,142.291
72.319,142.359
72.348,142.427
72.375,142.496
72.401,142.565
72.426,142.635
72.450,142.706
72.472,142.776
72.494,142.848
72.514,142.920
72.533,142.993
72.550,143.066
72.567,143.140
72.582,143.214
72.596,143.289
72.609,143.364
72.621,143.440
72.632,143.517
72.641,143.593
72.648,143.670
72.655,143.747
72.660,143.825
72.664,143.903
72.666,143.981
72.667,144.059
72.666,144.138
72.664,144.217
72.661,144.295
72.656,144.374
72.649,144.453
72.641,144.532
72.631,144.611
72.620,144.690
72.607,144.769
72.592,144.848
72.576,144.927
72.557,145.006
72.538,145.084
72.516,145.162
72.493,145.240
72.468,145.318
72.441,145.395
72.413,145.473
72.383,145.549
72.351,145.626
72.318,145.701
72.284,145.777
72.248,145.851
72.211,145.925
72.172,145.999
72.133,146.071
72.092,146.143
72.050,146.214
72.007,146.285
71.963,146.354
71.918,146.422
71.872,146.490
71.825,146.556
71.778,146.622
71.730,146.686
71.681,146.749
71.631,146.811
71.581,146.872
71.530,146.931
71.479,146.989
71.428,147.046
71.376,147.101
71.324,147.155
71.271,147.207
71.218,147.258
71.166,147.307
71.112,147.355
71.059,147.401
71.005,147.446
70.951,147.490
70.897,147.532
70.842,147.574
70.787,147.614
70.732,147.653
70.676,147.691
70.620,147.728
70.563,147.764
70.506,147.799
70.448,147.834
70.389,147.867
70.330,147.900
70.271,147.932
70.211,147.964
70.150,147.995
70.089,148.026
70.027,148.056
69.964,148.086
69.900,148.115
69.836,148.144
69.771,148.173
69.705,148.202
69.639,148.230
69.572,148.258
69.504,148.285
69.436,148.312
69.367,148.338
69.298,148.363
69.229,148.388
69.159,148.411
69.089,148.433
69.018,148.455
68.948,148.475
68.877,148.494
68.806,148.511
68.736,148.527
68.665,148.541
68.594,148.554
68.524,148.565
68.453,148.575
68.383,148.582
68.313,148.588
68.243,148.591
68.174,148.593
68.105,148.592
68.037,148.589
67.969,148.584
67.902,148.576
67.835,148.566
67.770,148.553
67.704,148.538
67.640,148.521
67.576,148.502
67.513,148.480
67.451,148.456
67.390,148.429
67.330,148.400
67.271,148.369
67.213,148.336
67.156,148.301
67.100,148.263
67.046,148.223
66.992,148.181
66.940,148.137
66.889,148.091
66.840,148.042
66.792,147.991
66.745,147.939
66.700,147.884
66.657,147.827
66.615,147.767
66.575,147.706
66.536,147.643
66.498,147.578
66.463,147.511
66.428,147.442
66.395,147.372
66.363,147.299
66.333,147.226
66.303,147.150
66.275,147.073
66.248,146.995
66.222,146.915
66.197,146.834
66.173,146.752
66.150,146.668
66.128,146.584
66.107,146.498
66.086,146.411
66.067,146.324
66.048,146.235
66.029,146.146
66.011,146.056
65.994,145.965
65.977,145.873
65.961,145.781
65.945,145.689
65.930,145.596
65.914,145.502
65.899,145.409
65.885,145.315
65.870,145.220
65.856,145.126
65.841,145.032
65.827,144.937
65.813,144.843
65.799,144.748
65.786,144.653
65.772,144.559
65.759,144.464
65.746,144.370
65.733,144.276
65.720,144.182
65.708,144.088
65.695,143.995
65.683,143.901
65.671,143.808
65.660,143.716
65.649,143.623
65.638,143.531
65.627,143.440
65.616,143.349
65.606,143.259
65.596,143.169
65.587,143.079
65.578,142.990
65.569,142.902
65.560,142.815
65.552,142.728
65.544,142.642
65.537,142.556
65.530,142.472
