X	Y
68.859	144.082
68.915	143.976
68.990	143.873
69.082	143.771
69.192	143.672
69.319	143.574
69.461	143.477
69.620	143.381
69.793	143.285
69.981	143.189
70.182	143.093
70.397	142.997
70.625	142.900
70.864	142.801
71.116	142.702
71.378	142.600
71.650	142.496
71.933	142.390
72.224	142.281
72.525	142.168
72.833	142.053
73.149	141.933
73.472	141.810
73.801	141.682
74.137	141.551
74.479	141.416
74.827	141.278
75.180	141.136
75.539	140.991
75.903	140.843
76.271	140.692
76.644	140.538
77.021	140.381
77.403	140.222
77.788	140.061
78.176	139.897
78.568	139.732
78.962	139.564
79.360	139.395
79.759	139.224
80.161	139.052
80.565	138.878
80.970	138.704
81.377	138.528
81.785	138.351
82.193	138.174
82.603	137.996
83.012	137.818
83.422	137.639
83.831	137.461
84.240	137.282
84.648	137.103
85.055	136.925
85.461	136.748
85.865	136.571
86.267	136.395
86.667	136.219
87.065	136.045
87.461	135.872
87.853	135.700
88.243	135.530
88.629	135.362
89.011	135.195
89.390	135.030
89.766	134.867
90.138	134.707
90.506	134.548
90.870	134.391
91.230	134.237
91.586	134.085
91.938	133.935
92.286	133.788
92.630	133.644
92.969	133.502
93.304	133.364
93.634	133.228
93.960	133.095
94.281	132.965
94.597	132.838
94.909	132.715
95.215	132.595
95.517	132.478
95.813	132.365
96.104	132.255
96.390	132.149
96.671	132.047
96.946	131.949
97.216	131.855
97.480	131.765
97.738	131.678
97.991	131.597
98.238	131.519
98.479	131.446
98.714	131.377
98.944	131.313
99.168	131.254
99.388	131.199
99.603	131.150
99.814	131.105
100.021	131.065
100.225	131.031
100.426	131.002
100.624	130.978
100.819	130.960
101.013	130.948
101.205	130.941
101.395	130.940
101.585	130.945
101.774	130.956
101.962	130.973
102.151	130.997
102.340	131.027
102.529	131.062
102.719	131.104
102.908	131.151
103.097	131.202
103.285	131.257
103.472	131.316
103.657	131.378
103.841	131.443
104.022	131.509
104.201	131.577
104.377	131.645
104.549	131.714
104.718	131.783
104.884	131.851
105.045	131.917
105.202	131.982
105.353	132.045
105.500	132.105
105.642	132.163
105.778	132.220
105.910	132.277
106.036	132.334
106.158	132.392
106.275	132.452
106.386	132.514
106.493	132.580
106.595	132.651
106.692	132.726
106.784	132.807
106.872	132.894
106.953	132.986
107.025	133.082
107.087	133.179
107.137	133.276
107.171	133.369
107.188	133.458
107.185	133.539
107.161	133.612
107.113	133.675
107.044	133.727
106.953	133.772
106.846	133.810
106.722	133.844
106.586	133.875
106.439	133.907
106.283	133.939
106.122	133.975
105.957	134.016
105.790	134.064
105.625	134.121
105.463	134.189
105.306	134.269
105.155	134.362
105.009	134.466
104.868	134.583
104.731	134.710
104.598	134.848
104.469	134.996
104.343	135.155
104.219	135.322
104.098	135.498
103.979	135.683
103.862	135.875
103.745	136.075
103.629	136.282
103.514	136.496
103.398	136.715
103.282	136.941
103.165	137.171
103.047	137.407
102.927	137.646
102.805	137.890
102.681	138.137
102.555	138.387
102.426	138.639
102.296	138.894
102.163	139.150
102.028	139.407
101.891	139.665
101.751	139.924
101.609	140.182
101.465	140.440
101.318	140.697
101.169	140.953
101.017	141.206
100.863	141.458
100.707	141.706
100.547	141.952
100.385	142.193
100.221	142.431
100.054	142.664
99.884	142.893
99.711	143.116
99.536	143.333
99.358	143.544
99.177	143.748
98.993	143.945
98.806	144.135
98.617	144.317
98.426	144.492
98.234	144.660
98.041	144.822
97.847	144.977
97.654	145.127
97.462	145.270
97.271	145.408
97.082	145.541
96.895	145.669
96.711	145.792
96.531	145.911
96.355	146.025
96.183	146.136
96.017	146.243
95.856	146.347
95.701	146.448
95.554	146.545
95.413	146.641
95.280	146.734
95.155	146.824
95.035	146.912
94.919	146.996
94.807	147.076
94.695	147.151
94.582	147.220
94.468	147.283
94.349	147.339
94.225	147.388
94.094	147.429
93.954	147.461
93.804	147.484
93.642	147.497
93.468	147.501
93.283	147.495
93.087	147.481
92.882	147.459
92.667	147.430
92.444	147.395
92.214	147.355
91.977	147.310
91.735	147.260
91.487	147.207
91.234	147.152
90.978	147.094
90.720	147.035
90.459	146.976
90.197	146.917
89.934	146.858
89.671	146.801
89.410	146.746
89.150	146.694
88.893	146.645
88.639	146.601
88.389	146.562
88.144	146.528
87.903	146.500
87.665	146.476
87.431	146.458
87.200	146.445
86.972	146.436
86.747	146.433
86.525	146.435
86.305	146.441
86.087	146.452
85.871	146.468
85.656	146.488
85.443	146.513
85.230	146.543
85.019	146.577
84.808	146.615
84.597	146.658
84.386	146.705
84.175	146.756
83.964	146.811
83.752	146.870
83.539	146.933
83.326	146.998
83.114	147.066
82.901	147.137
82.689	147.208
82.478	147.281
82.268	147.354
82.059	147.427
81.852	147.499
81.646	147.570
81.443	147.639
81.241	147.707
81.043	147.771
80.847	147.833
80.654	147.891
80.464	147.944
80.278	147.993
80.095	148.037
79.916	148.075
79.742	148.107
79.570	148.133
79.402	148.155
79.235	148.172
79.071	148.184
78.907	148.193
78.744	148.199
78.581	148.201
78.418	148.202
78.253	148.200
78.087	148.196
77.919	148.191
77.748	148.185
77.574	148.179
77.396	148.173
77.214	148.167
77.027	148.161
76.837	148.156
76.643	148.151
76.446	148.147
76.246	148.142
76.044	148.137
75.838	148.133
75.631	148.128
75.422	148.123
75.212	148.118
75.000	148.112
74.787	148.106
74.574	148.100
74.360	148.093
74.146	148.085
73.933	148.077
73.720	148.068
73.507	148.058
73.296	148.047
73.087	148.036
72.879	148.023
72.674	148.010
72.471	147.995
72.272	147.979
72.077	147.962
71.886	147.943
71.699	147.924
71.518	147.902
71.342	147.880
71.172	147.856
71.008	147.830
70.851	147.803
70.701	147.774
70.559	147.744
70.426	147.712
70.300	147.677
70.183	147.640
70.074	147.599
69.973	147.553
69.880	147.502
69.795	147.443
69.717	147.377
69.647	147.303
69.584	147.219
69.528	147.125
69.478	147.020
69.435	146.907
69.398	146.786
69.365	146.661
69.336	146.532
69.310	146.403
69.286	146.273
69.265	146.146
69.244	146.024
69.224	145.908
69.203	145.799
69.181	145.700
69.157	145.610
69.133	145.526
69.106	145.446
69.078	145.368
69.048	145.290
69.016	145.211
68.982	145.127
68.946	145.038
68.910	144.942
68.875	144.842
68.844	144.738
68.819	144.630
68.802	144.521
68.795	144.410
68.801	144.300
68.822	144.190
68.859	144.082
