X	Y
343.000	141.000
343.239	140.354
343.591	139.605
344.053	138.761
344.624	137.830
345.302	136.820
346.085	135.738
346.971	134.592
347.959	133.390
349.046	132.139
350.231	130.847
351.511	129.522
352.885	128.172
354.351	126.804
355.907	125.426
357.552	124.045
359.282	122.667
361.093	121.292
362.982	119.921
364.944	118.554
366.975	117.191
369.070	115.832
371.226	114.479
373.438	113.131
375.703	111.789
378.015	110.453
380.371	109.123
382.767	107.800
385.198	106.484
387.660	105.175
390.149	103.875
392.662	102.582
395.192	101.298
397.738	100.023
400.293	98.757
402.855	97.500
405.418	96.254
407.980	95.017
410.534	93.792
413.079	92.577
415.608	91.373
418.118	90.181
420.606	89.001
423.070	87.832
425.510	86.674
427.929	85.524
430.324	84.382
432.699	83.248
435.051	82.120
437.383	80.996
439.693	79.877
441.984	78.761
444.255	77.647
446.506	76.533
448.739	75.420
450.952	74.305
453.148	73.189
455.326	72.069
457.486	70.945
459.629	69.816
461.756	68.681
463.867	67.538
465.962	66.388
468.041	65.228
470.106	64.058
472.156	62.876
474.192	61.682
476.215	60.475
478.224	59.256
480.223	58.027
482.211	56.788
484.190	55.543
486.161	54.291
488.125	53.036
490.083	51.778
492.038	50.520
493.989	49.262
495.937	48.006
497.885	46.755
499.834	45.509
501.783	44.271
503.736	43.042
505.692	41.823
507.653	40.616
509.620	39.423
511.595	38.245
513.578	37.084
515.570	35.942
517.574	34.820
519.590	33.720
521.618	32.644
523.660	31.592
525.714	30.565
527.780	29.565
529.856	28.592
531.944	27.648
534.041	26.733
536.147	25.848
538.262	24.995
540.386	24.174
542.516	23.386
544.654	22.632
546.797	21.914
548.947	21.231
551.101	20.585
553.260	19.978
555.422	19.409
557.588	18.880
559.756	18.393
561.927	17.946
564.098	17.543
566.270	17.184
568.443	16.869
570.614	16.598
572.783	16.370
574.947	16.181
577.106	16.031
579.257	15.916
581.399	15.834
583.530	15.784
585.648	15.763
587.753	15.769
589.841	15.800
591.912	15.853
593.964	15.927
595.995	16.020
598.004	16.128
599.988	16.251
601.947	16.386
603.879	16.530
605.781	16.682
607.653	16.839
609.492	16.999
611.297	17.162
613.059	17.331
614.773	17.510
616.429	17.706
618.020	17.923
619.538	18.166
620.976	18.441
622.326	18.751
623.580	19.103
624.731	19.501
625.770	19.950
626.690	20.455
627.484	21.022
628.142	21.655
628.665	22.358
629.060	23.130
629.339	23.973
629.512	24.886
629.591	25.868
629.585	26.920
629.507	28.041
629.366	29.232
629.174	30.492
628.942	31.822
628.676	33.220
628.377	34.684
628.047	36.214
627.684	37.806
627.289	39.459
626.862	41.171
626.402	42.940
625.911	44.764
625.388	46.641
624.833	48.569
624.246	50.546
623.627	52.570
622.977	54.639
622.295	56.751
621.581	58.904
620.836	61.097
620.059	63.327
619.251	65.592
618.412	67.891
617.541	70.221
616.640	72.579
615.708	74.961
614.745	77.363
613.754	79.781
612.734	82.211
611.685	84.649
610.609	87.090
609.505	89.530
608.374	91.966
607.217	94.392
606.035	96.806
604.827	99.202
603.595	101.577
602.339	103.926
601.059	106.246
599.756	108.532
598.430	110.781
597.083	112.987
595.714	115.147
594.324	117.257
592.913	119.312
591.483	121.309
590.034	123.244
588.565	125.111
587.079	126.907
585.575	128.630
584.057	130.281
582.529	131.864
580.996	133.382
579.460	134.840
577.927	136.241
576.399	137.589
574.882	138.888
573.379	140.142
571.894	141.353
570.431	142.526
568.995	143.666
567.588	144.774
566.216	145.856
564.882	146.914
563.590	147.954
562.345	148.977
561.149	149.989
560.008	150.992
558.923	151.991
557.884	152.983
556.880	153.968
555.899	154.944
554.930	155.909
553.960	156.862
552.978	157.800
551.973	158.724
550.931	159.630
549.843	160.518
