X,Y
398.000,89.250
398.784,88.600
399.914,87.875
401.344,87.086
403.029,86.245
404.921,85.363
406.977,84.452
409.149,83.521
411.392,82.584
413.660,81.650
415.907,80.732
418.106,79.835
420.258,78.959
422.368,78.101
424.441,77.260
426.482,76.433
428.495,75.619
430.486,74.816
432.459,74.022
434.419,73.235
436.371,72.452
438.320,71.672
440.271,70.893
442.228,70.111
444.197,69.324
446.184,68.528
448.192,67.722
450.227,66.901
452.294,66.063
454.399,65.206
456.546,64.326
458.740,63.420
460.986,62.485
463.281,61.524
465.617,60.541
467.986,59.542
470.377,58.533
472.782,57.519
475.192,56.506
477.598,55.499
479.991,54.503
482.363,53.525
484.703,52.569
487.004,51.641
489.257,50.747
491.454,49.891
493.599,49.071
495.698,48.283
497.757,47.524
499.781,46.791
501.775,46.080
503.746,45.388
505.700,44.712
507.641,44.049
509.575,43.395
511.509,42.746
513.444,42.109
515.378,41.500
517.309,40.936
519.233,40.434
521.149,40.012
523.054,39.688
524.945,39.478
526.820,39.400
528.677,39.471
530.510,39.705
532.305,40.092
534.041,40.610
535.699,41.239
537.258,41.958
538.699,42.746
540.000,43.583
541.143,44.447
542.109,45.320
542.896,46.211
543.517,47.146
543.984,48.155
544.307,49.263
544.500,50.500
544.575,51.884
544.547,53.405
544.434,55.045
544.253,56.786
544.021,58.610
543.755,60.497
543.471,62.431
543.187,64.393
542.919,66.364
542.677,68.333
542.453,70.299
542.242,72.262
542.038,74.223
541.832,76.180
541.619,78.134
541.392,80.085
541.144,82.034
540.869,83.979
540.559,85.920
540.207,87.856
539.805,89.778
539.346,91.682
538.820,93.561
538.220,95.409
537.539,97.221
536.767,98.990
535.897,100.711
534.921,102.376
533.833,103.982
532.636,105.526
531.334,107.006
529.931,108.420
528.432,109.767
526.840,111.045
525.160,112.252
523.396,113.386
521.552,114.446
519.633,115.430
517.643,116.336
515.590,117.167
513.484,117.924
511.332,118.609
509.143,119.223
506.926,119.769
504.688,120.248
502.437,120.661
500.184,121.011
497.935,121.299
495.699,121.527
493.480,121.698
491.271,121.815
489.064,121.884
486.848,121.909
484.616,121.897
482.357,121.850
480.064,121.775
477.726,121.676
475.335,121.558
472.883,121.426
470.359,121.284
467.756,121.138
465.082,120.986
462.352,120.825
459.580,120.652
456.781,120.464
453.969,120.257
451.159,120.028
448.365,119.775
445.603,119.493
442.887,119.180
440.231,118.832
437.651,118.447
435.160,118.020
432.773,117.549
430.493,117.036
428.307,116.490
426.202,115.919
424.166,115.331
422.184,114.737
420.244,114.145
418.333,113.564
416.437,113.002
414.543,112.468
412.638,111.972
410.720,111.516
408.818,111.078
406.972,110.634
405.220,110.159
403.600,109.627
402.150,109.013
400.909,108.291
399.915,107.438
399.198,106.431
398.730,105.283
398.458,104.019
398.326,102.667
398.281,101.252
398.269,99.801
398.235,98.341
398.150,96.900
398.026,95.510
397.880,94.202
397.730,93.011
397.592,91.967
397.483,91.104
397.446,90.419
397.582,89.831
398.000,89.250
