X,Y
401.500,107.750
402.772,107.300
404.336,107.124
406.157,107.183
408.202,107.436
410.435,107.845
412.823,108.371
415.331,108.974
417.926,109.616
420.573,110.256
423.238,110.855
425.897,111.389
428.547,111.865
431.189,112.295
433.824,112.692
436.454,113.067
439.079,113.434
441.701,113.803
444.321,114.187
446.939,114.600
449.557,115.052
452.176,115.556
454.796,116.124
457.418,116.762
460.033,117.458
462.636,118.200
465.218,118.976
467.773,119.771
470.294,120.575
472.774,121.373
475.205,122.154
477.581,122.904
479.893,123.611
482.136,124.262
484.303,124.846
486.384,125.378
488.373,125.896
490.263,126.433
492.044,127.027
493.709,127.714
495.251,128.530
496.661,129.510
497.931,130.691
499.058,132.091
500.046,133.682
500.900,135.428
501.628,137.292
502.235,139.240
502.727,141.236
503.111,143.243
503.391,145.226
503.575,147.151
503.660,149.006
503.638,150.806
503.497,152.569
503.229,154.309
502.823,156.045
502.269,157.791
501.557,159.565
500.678,161.382
499.630,163.245
498.427,165.138
497.081,167.042
495.606,168.939
494.016,170.809
492.324,172.634
490.544,174.395
488.689,176.075
486.773,177.654
484.808,179.114
482.809,180.438
480.779,181.627
478.717,182.693
476.622,183.647
474.494,184.501
472.332,185.266
470.135,185.953
467.901,186.575
465.632,187.142
463.325,187.666
460.980,188.158
458.600,188.625
456.195,189.064
453.776,189.472
451.352,189.846
448.934,190.185
446.533,190.483
444.158,190.739
441.821,190.950
439.531,191.112
437.299,191.223
435.135,191.279
433.044,191.263
431.032,191.151
429.100,190.917
427.253,190.536
425.493,189.984
423.825,189.234
422.251,188.262
420.776,187.042
419.400,185.565
418.123,183.864
416.943,181.974
415.857,179.933
414.864,177.779
413.962,175.550
413.148,173.282
412.421,171.013
411.779,168.781
411.219,166.623
410.736,164.565
410.317,162.599
409.944,160.708
409.601,158.874
409.270,157.081
408.935,155.313
408.580,153.552
408.188,151.782
407.742,149.987
407.231,148.176
406.650,146.375
405.994,144.615
405.256,142.922
404.431,141.327
403.513,139.857
402.497,138.541
401.380,137.405
400.196,136.435
399.017,135.577
397.916,134.779
396.964,133.987
396.233,133.147
395.791,132.209
395.629,131.157
395.675,130.008
395.853,128.778
396.086,127.485
396.300,126.147
396.452,124.783
396.560,123.414
396.651,122.065
396.751,120.757
396.883,119.514
397.075,118.359
397.333,117.288
397.638,116.263
397.969,115.240
398.304,114.178
398.624,113.035
398.943,111.820
399.324,110.606
399.833,109.471
400.537,108.493
401.500,107.750
