X,Y
67.838,37.973
67.900,37.781
68.012,37.567
68.170,37.332
68.371,37.076
68.611,36.802
68.888,36.509
69.199,36.200
69.541,35.875
69.910,35.536
70.304,35.183
70.719,34.818
71.152,34.441
71.601,34.055
72.061,33.660
72.531,33.258
73.006,32.848
73.484,32.434
73.962,32.014
74.437,31.592
74.905,31.168
75.365,30.743
75.814,30.317
76.254,29.891
76.685,29.465
77.108,29.039
77.523,28.614
77.930,28.190
78.330,27.767
78.724,27.345
79.112,26.925
79.494,26.507
79.871,26.091
80.244,25.677
80.612,25.267
80.976,24.859
81.337,24.455
81.695,24.054
82.051,23.656
82.405,23.263
82.757,22.875
83.108,22.490
83.459,22.111
83.810,21.737
84.161,21.368
84.512,21.005
84.864,20.647
85.216,20.294
85.568,19.947
85.920,19.605
86.272,19.268
86.623,18.936
86.974,18.609
87.324,18.287
87.674,17.971
88.023,17.659
88.370,17.351
88.717,17.049
89.063,16.751
89.407,16.458
89.749,16.170
90.090,15.886
90.429,15.606
90.767,15.331
91.102,15.061
91.436,14.794
91.768,14.532
92.098,14.274
92.426,14.019
92.753,13.768
93.079,13.521
93.403,13.277
93.726,13.037
94.048,12.800
94.368,12.565
94.688,12.334
95.007,12.106
95.325,11.880
95.642,11.657
95.959,11.436
96.275,11.218
96.590,11.002
96.906,10.789
97.222,10.578
97.540,10.371
97.859,10.167
98.179,9.967
98.502,9.771
98.828,9.580
99.156,9.392
99.488,9.210
99.825,9.032
100.165,8.860
100.510,8.694
100.861,8.533
101.217,8.378
101.579,8.230
101.946,8.088
102.318,7.952
102.694,7.824
103.072,7.703
103.453,7.589
103.835,7.482
104.218,7.383
104.600,7.292
104.982,7.209
105.362,7.134
105.740,7.067
106.115,7.009
106.485,6.960
106.851,6.919
107.211,6.888
107.565,6.866
107.915,6.853
108.259,6.847
108.601,6.849
108.940,6.858
109.277,6.874
109.614,6.895
109.951,6.922
110.288,6.953
110.628,6.989
110.971,7.028
111.317,7.070
111.668,7.115
112.024,7.162
112.386,7.210
112.751,7.261
113.117,7.317
113.480,7.378
113.838,7.446
114.186,7.523
114.524,7.611
114.846,7.709
115.151,7.821
115.435,7.947
115.696,8.089
115.930,8.248
116.134,8.426
116.306,8.624
116.446,8.842
116.559,9.077
116.648,9.327
116.719,9.589
116.775,9.861
116.821,10.141
116.861,10.426
116.899,10.713
116.939,11.001
116.987,11.288
117.046,11.569
117.117,11.845
117.199,12.116
117.287,12.383
117.379,12.647
117.470,12.908
117.559,13.168
117.641,13.427
117.713,13.686
117.772,13.946
117.815,14.207
117.838,14.472
117.840,14.739
117.822,15.010
117.786,15.282
117.736,15.556
117.673,15.831
117.602,16.107
117.523,16.382
117.440,16.656
117.355,16.928
117.271,17.199
117.191,17.466
117.117,17.730
117.050,17.990
116.987,18.247
116.927,18.500
116.869,18.750
116.811,18.996
116.752,19.239
116.690,19.478
116.624,19.714
116.552,19.946
116.472,20.175
116.384,20.401
116.289,20.626
116.187,20.852
116.079,21.079
115.967,21.311
115.852,21.548
115.733,21.793
115.614,22.047
115.493,22.311
115.373,22.589
115.253,22.880
115.136,23.187
115.022,23.507
114.911,23.837
114.804,24.175
114.700,24.520
114.602,24.867
114.509,25.216
114.422,25.563
114.340,25.906
114.266,26.244
114.199,26.572
114.140,26.889
114.089,27.193
114.048,27.480
114.014,27.751
113.988,28.008
113.967,28.253
113.948,28.489
113.930,28.721
113.910,28.950
113.887,29.179
113.859,29.412
113.822,29.652
113.776,29.902
113.720,30.163
113.653,30.437
113.578,30.721
113.497,31.016
113.411,31.320
113.321,31.634
113.230,31.957
113.138,32.288
113.047,32.627
112.959,32.973
112.875,33.326
112.798,33.684
112.727,34.048
112.666,34.417
112.613,34.789
112.568,35.164
112.528,35.540
112.492,35.915
112.458,36.289
112.426,36.659
112.393,37.025
112.359,37.384
112.321,37.736
112.277,38.079
112.228,38.411
112.170,38.732
112.103,39.040
112.024,39.333
111.934,39.611
111.833,39.875
111.722,40.128
111.604,40.371
111.479,40.608
111.350,40.839
111.217,41.068
111.084,41.296
110.950,41.526
110.818,41.760
110.689,42.000
110.565,42.249
110.444,42.505
110.324,42.768
