X,Y
4.089,2.211
4.090,2.203
4.092,2.194
4.097,2.185
4.103,2.175
4.111,2.165
4.119,2.154
4.127,2.143
4.136,2.131
4.145,2.120
4.154,2.108
4.161,2.097
4.168,2.085
4.175,2.074
4.182,2.063
4.188,2.052
4.195,2.040
4.201,2.030
4.208,2.019
4.216,2.008
4.225,1.998
4.235,1.987
4.246,1.977
4.258,1.967
4.271,1.957
4.284,1.948
4.299,1.938
4.314,1.928
4.329,1.919
4.345,1.909
4.360,1.900
4.376,1.890
4.391,1.880
4.406,1.870
4.420,1.859
4.433,1.849
4.445,1.838
4.456,1.827
4.467,1.816
4.476,1.804
4.485,1.793
4.494,1.781
4.502,1.770
4.511,1.759
4.520,1.747
4.529,1.737
4.538,1.726
4.548,1.716
4.560,1.707
4.572,1.698
4.585,1.689
4.599,1.681
4.614,1.674
4.630,1.666
4.647,1.659
4.664,1.652
4.681,1.645
4.699,1.638
4.717,1.631
4.736,1.624
4.754,1.616
4.773,1.608
4.791,1.599
4.810,1.590
4.828,1.580
4.845,1.570
4.863,1.559
4.880,1.547
4.897,1.535
4.914,1.523
4.930,1.510
4.947,1.497
4.963,1.484
4.979,1.470
4.995,1.457
5.011,1.443
5.027,1.429
5.043,1.416
5.059,1.402
5.075,1.389
5.092,1.376
5.108,1.364
5.124,1.351
5.140,1.339
5.157,1.328
5.174,1.317
5.190,1.306
5.207,1.295
5.223,1.285
5.240,1.274
5.257,1.264
5.273,1.255
5.290,1.245
5.306,1.236
5.322,1.226
5.339,1.217
5.355,1.208
5.370,1.199
5.386,1.190
5.402,1.180
5.417,1.171
5.432,1.162
5.447,1.153
5.462,1.144
5.476,1.135
5.490,1.126
5.504,1.117
5.518,1.108
5.531,1.099
5.545,1.090
5.558,1.081
5.570,1.072
5.583,1.063
5.595,1.054
5.607,1.045
5.619,1.036
5.631,1.027
5.642,1.018
5.654,1.009
5.665,1.001
5.677,0.992
5.689,0.984
5.700,0.976
5.712,0.968
5.724,0.960
5.736,0.952
5.749,0.945
5.761,0.938
5.774,0.931
5.787,0.924
5.800,0.918
5.813,0.912
