X,Y
9.114,4.261
9.120,4.254
9.127,4.248
9.136,4.242
9.146,4.236
9.157,4.231
9.169,4.226
9.182,4.221
9.196,4.217
9.211,4.212
9.227,4.208
9.243,4.204
9.260,4.199
9.278,4.195
9.296,4.190
9.314,4.185
9.333,4.179
9.352,4.173
9.371,4.167
9.390,4.160
9.409,4.153
9.427,4.145
9.446,4.136
9.465,4.126
9.483,4.116
9.501,4.105
9.519,4.094
9.537,4.082
9.555,4.070
9.573,4.057
9.591,4.043
9.609,4.029
9.626,4.015
9.644,4.001
9.662,3.986
9.680,3.971
9.698,3.955
9.716,3.940
9.733,3.924
9.751,3.908
9.770,3.892
9.788,3.875
9.806,3.859
9.825,3.843
9.843,3.826
9.862,3.810
9.881,3.794
9.900,3.778
9.920,3.762
9.939,3.746
9.959,3.730
9.979,3.714
10.000,3.699
10.020,3.684
10.041,3.669
10.062,3.655
10.084,3.640
10.105,3.626
10.127,3.612
10.149,3.598
10.172,3.584
10.194,3.571
10.217,3.557
10.240,3.544
10.264,3.531
10.287,3.518
10.311,3.504
10.335,3.491
10.359,3.478
10.383,3.466
10.408,3.453
10.433,3.440
10.457,3.427
10.483,3.414
10.508,3.401
10.533,3.388
10.559,3.375
10.585,3.362
10.611,3.349
10.637,3.336
10.663,3.323
10.690,3.310
10.717,3.296
10.743,3.283
10.770,3.269
10.797,3.255
10.825,3.242
10.852,3.227
10.879,3.213
10.907,3.199
10.935,3.184
10.963,3.169
10.991,3.154
11.019,3.139
11.047,3.124
11.075,3.109
11.103,3.093
11.131,3.078
11.160,3.062
11.188,3.046
11.216,3.030
11.245,3.014
11.273,2.998
11.301,2.982
11.330,2.966
11.358,2.950
11.386,2.933
11.415,2.917
11.443,2.901
11.471,2.884
11.499,2.868
11.527,2.851
11.555,2.835
11.582,2.818
11.610,2.801
11.638,2.785
11.665,2.768
11.692,2.752
11.719,2.735
11.746,2.719
11.773,2.703
11.800,2.686
11.826,2.670
11.852,2.654
11.878,2.638
11.904,2.621
11.930,2.605
11.955,2.590
11.980,2.574
12.005,2.558
12.029,2.542
12.054,2.527
12.078,2.511
12.102,2.496
12.126,2.481
12.149,2.465
12.173,2.450
12.196,2.435
12.219,2.420
12.242,2.406
12.265,2.391
12.288,2.376
12.311,2.361
12.333,2.347
12.356,2.332
12.379,2.318
12.401,2.303
12.424,2.289
12.447,2.274
12.469,2.260
12.492,2.246
12.515,2.232
12.538,2.217
12.561,2.203
12.584,2.189
12.607,2.175
12.630,2.161
12.654,2.147
12.677,2.133
12.701,2.119
12.725,2.105
12.750,2.091
12.774,2.077
12.799,2.063
12.824,2.049
12.849,2.035
12.874,2.021
12.900,2.007
12.926,1.993
12.952,1.979
12.978,1.965
13.005,1.951
13.032,1.937
13.059,1.923
13.086,1.909
13.113,1.895
13.140,1.881
13.168,1.867
13.195,1.853
13.223,1.839
13.250,1.825
13.278,1.811
13.306,1.797
13.334,1.784
13.361,1.770
13.389,1.756
13.417,1.743
13.445,1.729
13.472,1.715
13.500,1.702
13.528,1.688
13.555,1.675
13.583,1.661
13.610,1.648
13.637,1.635
13.664,1.621
13.691,1.608
13.718,1.595
13.744,1.582
13.771,1.569
13.797,1.556
13.823,1.543
13.849,1.530
13.874,1.517
13.899,1.505
13.924,1.492
13.949,1.480
13.974,1.467
13.998,1.455
14.022,1.442
14.046,1.430
14.070,1.418
14.093,1.405
14.117,1.393
14.140,1.381
14.164,1.369
14.187,1.356
14.210,1.344
14.233,1.332
14.256,1.320
14.280,1.308
14.303,1.295
14.326,1.283
14.349,1.271
14.373,1.259
14.396,1.246
14.420,1.234
14.443,1.221
14.467,1.209
14.491,1.196
14.515,1.184
14.540,1.171
14.564,1.158
14.589,1.145
14.614,1.132
14.639,1.119
14.665,1.106
14.691,1.093
14.717,1.079
14.743,1.066
