X,Y
8.678,4.241
8.693,4.238
8.711,4.237
8.731,4.240
8.753,4.246
8.776,4.254
8.802,4.264
8.828,4.276
8.856,4.290
8.884,4.305
8.913,4.320
8.943,4.336
8.972,4.352
9.002,4.368
9.031,4.384
9.060,4.398
9.089,4.413
9.117,4.426
9.146,4.439
9.174,4.452
9.201,4.464
9.229,4.476
9.257,4.487
9.285,4.498
9.313,4.509
9.340,4.519
9.369,4.530
9.397,4.540
9.425,4.551
9.454,4.561
9.483,4.572
9.513,4.582
9.542,4.593
9.572,4.604
9.603,4.615
9.634,4.626
9.664,4.637
9.696,4.649
9.727,4.661
9.758,4.673
9.790,4.685
9.822,4.698
9.854,4.711
9.887,4.725
9.919,4.739
9.951,4.753
9.984,4.768
10.017,4.783
10.050,4.799
10.082,4.815
10.115,4.832
10.148,4.849
10.181,4.866
10.214,4.884
10.247,4.901
10.281,4.919
10.314,4.937
10.347,4.954
10.380,4.972
10.413,4.990
10.446,5.008
10.479,5.025
10.512,5.043
10.545,5.060
10.578,5.077
10.611,5.093
10.644,5.109
10.677,5.125
10.710,5.141
10.743,5.156
10.775,5.172
10.808,5.187
10.841,5.202
10.873,5.217
10.906,5.233
10.938,5.248
10.971,5.264
11.003,5.280
11.035,5.296
11.068,5.313
11.100,5.330
11.132,5.348
11.165,5.366
11.197,5.385
11.229,5.404
11.261,5.425
11.294,5.445
11.326,5.467
11.358,5.488
11.391,5.510
11.423,5.533
11.456,5.556
11.489,5.579
11.522,5.602
11.555,5.626
11.589,5.649
11.623,5.673
11.657,5.696
11.691,5.720
11.726,5.743
11.761,5.766
11.796,5.789
11.832,5.812
11.868,5.834
11.905,5.855
11.942,5.877
11.979,5.898
12.017,5.918
12.055,5.938
12.094,5.958
12.132,5.978
12.171,5.998
12.210,6.017
12.249,6.036
12.288,6.056
12.327,6.075
12.366,6.094
12.404,6.113
12.443,6.133
12.482,6.152
12.520,6.172
12.558,6.192
12.595,6.213
12.632,6.233
12.669,6.254
12.705,6.276
12.741,6.298
12.776,6.320
12.811,6.343
12.845,6.366
12.878,6.390
12.911,6.413
12.943,6.437
12.975,6.460
13.005,6.484
13.036,6.507
13.065,6.530
13.093,6.553
13.121,6.576
13.148,6.598
13.175,6.619
13.200,6.640
13.225,6.660
13.248,6.679
13.271,6.698
13.293,6.715
13.314,6.732
13.334,6.748
13.353,6.764
13.370,6.780
13.386,6.796
13.401,6.812
13.414,6.828
13.426,6.846
13.435,6.864
13.443,6.883
13.449,6.904
13.453,6.925
13.455,6.948
13.455,6.972
13.454,6.996
13.450,7.021
13.445,7.046
13.438,7.071
13.429,7.096
13.418,7.120
13.406,7.143
13.392,7.165
13.376,7.186
13.359,7.206
13.341,7.224
13.321,7.241
13.300,7.257
13.278,7.271
13.256,7.285
13.233,7.299
13.209,7.311
13.186,7.323
13.162,7.334
13.138,7.346
13.114,7.357
13.091,7.367
13.068,7.378
13.046,7.389
13.024,7.399
13.002,7.410
12.979,7.419
12.957,7.429
12.935,7.438
12.912,7.446
12.889,7.453
12.865,7.459
12.840,7.465
12.815,7.469
12.788,7.473
12.761,7.475
12.733,7.476
12.706,7.477
12.680,7.478
12.656,7.480
12.633,7.482
12.613,7.485
12.597,7.489
12.584,7.495
12.575,7.503
12.572,7.513
12.572,7.525
12.577,7.540
12.584,7.557
12.593,7.576
12.603,7.597
12.614,7.620
12.624,7.646
12.633,7.673
12.639,7.702
12.643,7.733
12.642,7.766
12.638,7.801
12.629,7.837
12.617,7.874
12.601,7.912
12.581,7.950
12.559,7.989
12.534,8.028
12.507,8.066
12.477,8.104
12.446,8.140
12.412,8.176
12.378,8.210
12.342,8.241
12.306,8.271
12.269,8.298
12.232,8.323
12.195,8.344
12.158,8.362
12.122,8.376
12.087,8.386
12.053,8.392
12.020,8.394
11.988,8.392
11.958,8.386
11.928,8.376
11.900,8.364
11.872,8.349
11.846,8.331
11.820,8.311
11.795,8.290
11.771,8.267
11.748,8.243
11.725,8.218
11.702,8.193
11.680,8.168
11.659,8.142
11.637,8.118
11.617,8.093
