X,Y
14.676,6.484
14.686,6.469
14.696,6.454
14.707,6.438
14.719,6.422
14.731,6.405
14.743,6.388
14.757,6.371
14.771,6.354
14.785,6.336
14.800,6.318
14.815,6.300
14.831,6.282
14.847,6.263
14.864,6.245
14.881,6.226
14.898,6.206
14.916,6.187
14.934,6.168
14.952,6.148
14.971,6.129
14.989,6.109
15.008,6.089
15.028,6.069
15.047,6.049
15.066,6.029
15.086,6.009
15.105,5.989
15.125,5.969
15.145,5.949
15.164,5.929
15.184,5.909
15.204,5.889
15.224,5.869
15.244,5.849
15.264,5.829
15.285,5.809
15.305,5.789
15.326,5.770
15.347,5.750
15.368,5.730
15.389,5.710
15.410,5.690
15.431,5.671
15.453,5.651
15.475,5.631
15.497,5.612
15.519,5.592
15.542,5.573
15.565,5.553
15.588,5.534
15.611,5.514
15.635,5.495
15.658,5.476
15.683,5.457
15.707,5.437
15.732,5.418
15.757,5.399
15.782,5.380
15.808,5.361
15.834,5.342
15.860,5.323
15.887,5.305
15.914,5.286
15.942,5.267
15.969,5.249
15.998,5.230
16.026,5.212
16.055,5.193
16.084,5.175
16.113,5.157
16.143,5.139
16.173,5.121
16.203,5.102
16.234,5.084
16.264,5.067
16.296,5.049
16.327,5.031
16.359,5.013
16.391,4.996
16.423,4.978
16.455,4.961
16.488,4.943
16.521,4.926
16.554,4.908
16.587,4.891
16.621,4.874
16.655,4.857
16.689,4.840
16.723,4.823
16.758,4.806
16.792,4.790
16.827,4.773
16.862,4.756
16.898,4.740
16.933,4.723
16.969,4.707
17.004,4.690
17.040,4.674
17.076,4.658
17.113,4.642
17.149,4.626
17.186,4.610
17.223,4.594
17.259,4.578
17.296,4.563
17.334,4.547
17.371,4.532
17.408,4.516
17.446,4.501
17.484,4.485
17.521,4.470
17.559,4.455
17.598,4.439
17.636,4.424
17.674,4.409
17.713,4.394
17.751,4.379
17.790,4.364
17.829,4.349
17.868,4.334
17.907,4.319
17.946,4.304
17.985,4.289
18.025,4.274
18.064,4.259
18.104,4.244
18.144,4.230
18.184,4.215
18.224,4.200
18.264,4.185
18.304,4.170
18.344,4.155
18.384,4.140
18.425,4.126
18.465,4.111
18.506,4.096
