X	Y
13.730	11.541
13.746	11.524
13.764	11.509
13.786	11.494
13.810	11.480
13.837	11.467
13.867	11.454
13.899	11.442
13.934	11.431
13.971	11.420
14.011	11.410
14.052	11.400
14.096	11.391
14.142	11.381
14.189	11.372
14.239	11.363
14.290	11.355
14.343	11.346
14.397	11.337
14.453	11.328
14.510	11.319
14.569	11.310
14.629	11.301
14.689	11.291
14.751	11.281
14.814	11.270
14.878	11.259
14.942	11.248
15.007	11.236
15.073	11.223
15.139	11.209
15.206	11.195
15.273	11.180
15.340	11.163
15.407	11.146
15.474	11.128
15.542	11.110
15.610	11.090
15.678	11.070
15.746	11.048
15.814	11.026
15.882	11.004
15.950	10.980
16.019	10.957
16.087	10.932
16.156	10.907
16.225	10.881
16.294	10.855
16.362	10.829
16.432	10.802
16.501	10.774
16.570	10.747
16.639	10.719
16.708	10.690
16.778	10.662
16.847	10.633
16.917	10.604
16.986	10.575
17.056	10.546
17.125	10.517
17.195	10.487
17.264	10.458
17.334	10.429
17.404	10.400
17.473	10.370
17.543	10.341
17.613	10.313
17.682	10.284
17.752	10.256
17.822	10.228
17.891	10.200
17.961	10.172
18.030	10.145
18.100	10.119
18.169	10.092
18.239	10.067
18.308	10.042
18.377	10.017
18.447	9.993
18.516	9.969
18.585	9.947
18.654	9.924
18.723	9.903
18.792	9.882
18.861	9.862
18.929	9.843
18.998	9.825
19.066	9.807
19.134	9.790
19.202	9.773
19.270	9.757
19.337	9.742
19.405	9.728
19.472	9.714
19.539	9.701
19.605	9.688
19.672	9.676
19.738	9.665
19.803	9.655
19.869	9.645
19.934	9.635
19.999	9.626
20.063	9.618
20.127	9.611
20.190	9.604
20.254	9.597
20.316	9.592
20.379	9.586
20.440	9.582
20.502	9.578
20.563	9.574
20.623	9.571
20.683	9.569
20.742	9.567
20.801	9.566
20.860	9.565
20.917	9.565
20.974	9.565
21.031	9.566
21.087	9.567
21.142	9.569
21.197	9.571
21.251	9.574
21.304	9.577
21.357	9.581
21.409	9.585
21.460	9.590
21.510	9.595
21.560	9.601
21.608	9.607
21.655	9.614
21.702	9.622
21.747	9.631
21.791	9.640
21.834	9.650
21.875	9.660
21.915	9.672
21.954	9.684
21.991	9.697
22.027	9.711
22.061	9.726
22.093	9.741
22.124	9.758
22.153	9.775
22.180	9.794
22.205	9.813
22.229	9.833
22.250	9.855
22.270	9.877
22.287	9.901
22.302	9.926
22.316	9.951
22.327	9.978
22.336	10.006
22.344	10.034
22.350	10.063
22.354	10.093
22.357	10.123
22.359	10.154
22.359	10.185
22.358	10.217
22.356	10.249
22.353	10.281
22.349	10.313
22.344	10.345
22.338	10.378
22.331	10.410
22.324	10.442
22.317	10.474
22.309	10.505
22.300	10.536
22.292	10.567
22.283	10.598
22.273	10.628
22.263	10.658
22.253	10.688
22.242	10.718
22.230	10.748
22.218	10.778
22.206	10.807
22.193	10.837
22.179	10.867
22.165	10.897
22.150	10.927
22.134	10.958
22.118	10.988
22.101	11.019
22.084	11.050
22.065	11.082
22.046	11.114
22.026	11.146
22.005	11.179
21.984	11.212
21.961	11.246
21.938	11.280
21.914	11.315
21.889	11.350
21.864	11.385
21.837	11.421
21.810	11.457
21.782	11.493
21.753	11.530
21.723	11.566
21.692	11.603
21.661	11.639
21.629	11.676
21.596	11.713
21.562	11.750
21.527	11.787
21.492	11.824
21.456	11.861
21.419	11.897
21.381	11.934
21.342	11.970
21.303	12.006
21.263	12.042
21.222	12.078
21.180	12.113
21.137	12.148
21.094	12.182
21.049	12.216
21.004	12.250
20.959	12.283
20.912	12.316
20.865	12.348
20.817	12.380
20.768	12.411
20.718	12.442
