X,Y
24.727,24.209
24.751,24.186
24.779,24.166
24.811,24.147
24.847,24.131
24.887,24.117
24.931,24.104
24.978,24.094
25.029,24.085
25.083,24.078
25.141,24.072
25.202,24.068
25.266,24.066
25.333,24.064
25.404,24.064
25.477,24.065
25.553,24.067
25.633,24.070
25.714,24.074
25.799,24.079
25.886,24.085
25.975,24.091
26.067,24.097
26.161,24.105
26.257,24.112
26.356,24.120
26.456,24.128
26.558,24.136
26.662,24.145
26.768,24.153
26.876,24.161
26.985,24.169
27.096,24.177
27.208,24.184
27.322,24.191
27.437,24.198
27.553,24.205
27.670,24.211
27.788,24.217
27.908,24.223
28.028,24.228
28.149,24.234
28.271,24.239
28.394,24.244
28.517,24.248
28.641,24.253
28.766,24.257
28.891,24.261
29.017,24.265
29.143,24.269
29.269,24.272
29.395,24.276
29.522,24.279
29.648,24.282
29.775,24.285
29.901,24.288
30.028,24.291
30.154,24.294
30.280,24.297
30.405,24.299
30.530,24.302
30.655,24.304
30.779,24.306
30.903,24.309
31.025,24.311
31.147,24.313
31.269,24.316
31.389,24.318
31.508,24.320
31.627,24.322
31.744,24.325
31.860,24.327
31.975,24.329
32.089,24.332
32.201,24.334
32.312,24.337
32.421,24.339
32.529,24.342
32.635,24.345
32.739,24.347
32.842,24.350
32.942,24.353
33.041,24.356
33.138,24.360
33.233,24.363
33.326,24.367
33.416,24.371
33.505,24.375
33.591,24.381
33.675,24.386
33.757,24.393
33.836,24.400
33.913,24.408
33.987,24.417
34.059,24.427
34.128,24.438
34.195,24.450
34.259,24.464
34.321,24.479
34.379,24.495
34.435,24.513
34.488,24.533
34.538,24.554
34.585,24.577
34.630,24.602
34.671,24.629
34.709,24.658
34.744,24.689
34.775,24.722
34.804,24.758
34.829,24.796
34.851,24.836
34.870,24.879
34.886,24.923
34.898,24.970
34.908,25.019
34.914,25.070
34.918,25.123
34.919,25.177
34.917,25.232
34.913,25.289
34.907,25.347
34.898,25.407
34.887,25.467
34.873,25.528
34.857,25.590
34.840,25.652
34.820,25.715
34.799,25.778
34.776,25.841
34.751,25.905
34.724,25.968
34.696,26.031
34.667,26.094
34.636,26.157
34.604,26.219
34.571,26.280
34.537,26.341
34.502,26.401
34.465,26.460
34.427,26.519
34.389,26.576
34.349,26.633
34.308,26.689
34.266,26.744
34.224,26.798
34.180,26.851
34.135,26.903
34.089,26.953
34.042,27.003
33.995,27.052
33.946,27.099
33.897,27.146
33.847,27.191
33.796,27.234
33.744,27.277
33.691,27.318
33.638,27.358
33.584,27.396
33.529,27.433
33.473,27.468
33.416,27.502
33.359,27.534
33.302,27.565
33.243,27.594
33.184,27.622
33.124,27.648
33.064,27.673
33.003,27.696
32.942,27.718
32.880,27.738
32.818,27.758
32.755,27.776
32.692,27.794
32.629,27.810
32.565,27.826
32.501,27.841
32.437,27.855
32.372,27.868
32.308,27.881
32.243,27.894
32.178,27.905
32.113,27.917
32.048,27.928
31.982,27.939
31.917,27.950
31.852,27.961
31.787,27.972
31.721,27.983
31.656,27.994
31.591,28.005
31.527,28.017
31.462,28.029
31.398,28.041
31.333,28.054
31.269,28.066
31.205,28.079
31.141,28.092
31.077,28.105
31.013,28.118
30.949,28.130
30.885,28.143
30.821,28.155
30.757,28.167
30.692,28.178
30.627,28.189
30.562,28.199
30.497,28.209
30.431,28.218
30.365,28.226
30.299,28.233
30.232,28.240
30.165,28.245
30.097,28.249
30.029,28.252
29.960,28.254
29.891,28.255
29.821,28.254
29.750,28.252
29.679,28.248
29.607,28.243
29.534,28.236
29.460,28.228
29.386,28.218
29.311,28.206
29.236,28.193
29.160,28.178
29.084,28.162
29.007,28.145
28.930,28.126
28.852,28.106
28.774,28.084
28.696,28.061
28.617,28.037
28.539,28.012
28.460,27.985
28.381,27.958
28.302,27.929
28.223,27.899
28.144,27.868
28.064,27.835
27.985,27.802
27.907,27.768
27.828,27.733
27.749,27.696
27.671,27.659
27.593,27.621
27.516,27.583
27.439,27.543
27.362,27.502
27.285,27.461
27.210,27.419
27.134,27.377
27.060,27.333
26.985,27.289
26.912,27.245
26.839,27.200
26.767,27.154
26.696,27.108
26.626,27.061
26.556,27.014
26.488,26.966
26.420,26.918
26.353,26.870
26.287,26.821
26.223,26.772
26.159,26.723
26.096,26.673
26.035,26.623
25.975,26.573
25.916,26.523
25.858,26.473
25.801,26.423
25.746,26.372
25.692,26.322
25.639,26.272
25.588,26.221
25.538,26.171
25.490,26.121
25.443,26.071
25.398,26.021
25.354,25.971
25.312,25.922
25.272,25.873
25.233,25.824
25.196,25.776
25.161,25.727
25.127,25.680
25.096,25.632
25.066,25.585
25.038,25.539
25.011,25.492
24.986,25.446
24.962,25.401
24.939,25.356
24.918,25.311
24.898,25.266
24.879,25.222
24.861,25.178
24.844,25.134
24.828,25.090
24.813,25.046
24.799,25.003
24.785,24.960
24.771,24.917
24.759,24.874
24.746,24.832
24.734,24.789
24.722,24.747
24.711,24.704
24.700,24.662
24.690,24.621
24.681,24.580
24.673,24.539
24.667,24.500
24.663,24.462
24.661,24.424
24.661,24.389
24.664,24.354
24.670,24.321
24.679,24.290
24.691,24.261
24.707,24.234
24.727,24.209
