X,Y
57.175,22.784
57.318,22.627
57.511,22.453
57.749,22.265
58.024,22.064
58.333,21.851
58.667,21.629
59.022,21.398
59.390,21.161
59.767,20.919
60.146,20.674
60.522,20.427
60.889,20.180
61.247,19.933
61.599,19.687
61.943,19.442
62.280,19.198
62.612,18.956
62.938,18.717
63.259,18.481
63.575,18.247
63.888,18.018
64.197,17.793
64.503,17.572
64.807,17.356
65.110,17.144
65.411,16.934
65.713,16.726
66.015,16.518
66.318,16.310
66.624,16.101
66.932,15.890
67.243,15.675
67.559,15.456
67.880,15.231
68.205,15.001
68.535,14.766
68.868,14.527
69.205,14.286
69.543,14.043
69.884,13.800
70.224,13.557
70.565,13.315
70.905,13.076
71.244,12.840
71.581,12.609
71.915,12.383
72.246,12.162
72.576,11.946
72.904,11.734
73.234,11.524
73.564,11.314
73.897,11.105
74.234,10.895
74.576,10.683
74.923,10.467
75.277,10.247
75.639,10.021
76.010,9.788
76.390,9.550
76.775,9.308
77.164,9.063
77.555,8.818
77.946,8.575
78.335,8.334
78.720,8.099
79.099,7.870
79.469,7.650
79.829,7.440
80.177,7.243
80.511,7.060
80.829,6.892
81.133,6.739
81.428,6.596
81.716,6.462
82.001,6.335
82.286,6.212
82.576,6.089
82.874,5.966
83.183,5.838
83.507,5.704
83.848,5.563
84.203,5.415
84.571,5.263
84.951,5.107
85.341,4.949
85.738,4.791
86.143,4.632
86.551,4.476
86.963,4.324
87.375,4.176
87.788,4.034
88.198,3.900
88.604,3.774
89.007,3.657
89.407,3.547
89.804,3.446
90.199,3.352
90.591,3.265
90.982,3.185
91.370,3.112
91.757,3.045
92.143,2.985
92.527,2.930
92.911,2.882
93.295,2.838
93.677,2.801
94.059,2.769
94.440,2.744
94.821,2.724
95.200,2.711
95.577,2.705
95.954,2.706
96.329,2.713
96.703,2.728
97.075,2.749
97.446,2.779
97.815,2.816
98.181,2.860
98.545,2.913
98.907,2.974
99.265,3.044
99.620,3.122
99.972,3.209
100.319,3.304
100.663,3.409
101.002,3.524
101.337,3.646
101.666,3.776
101.991,3.911
102.310,4.050
102.623,4.191
102.930,4.334
103.230,4.476
103.523,4.616
103.810,4.753
104.089,4.886
104.358,5.016
104.617,5.147
104.862,5.282
105.092,5.425
105.304,5.578
105.498,5.745
105.669,5.929
105.817,6.133
105.943,6.355
106.050,6.591
106.138,6.836
106.211,7.088
106.270,7.340
106.318,7.591
106.357,7.835
106.388,8.071
106.408,8.300
106.417,8.525
106.412,8.748
106.391,8.970
106.353,9.192
106.297,9.418
106.222,9.648
106.131,9.883
106.023,10.124
105.902,10.372
105.767,10.629
105.620,10.895
105.463,11.171
105.297,11.458
105.123,11.755
104.942,12.058
104.756,12.364
104.564,12.670
104.368,12.973
104.169,13.270
103.969,13.559
103.768,13.835
103.567,14.096
103.367,14.340
103.168,14.568
102.970,14.784
102.772,14.995
102.573,15.204
102.373,15.417
102.171,15.639
101.966,15.874
101.758,16.128
101.546,16.404
101.332,16.700
101.115,17.010
100.897,17.329
100.678,17.651
100.461,17.971
100.245,18.282
100.032,18.581
99.823,18.860
99.618,19.115
99.419,19.341
99.226,19.535
99.040,19.707
98.861,19.867
98.690,20.025
98.527,20.191
98.372,20.374
98.226,20.584
98.089,20.829
97.959,21.106
97.834,21.410
97.713,21.737
97.592,22.081
97.471,22.438
97.347,22.802
97.219,23.170
97.083,23.535
96.939,23.893
96.785,24.240
96.622,24.574
96.455,24.896
96.289,25.206
96.127,25.507
95.973,25.797
95.834,26.079
95.712,26.354
95.612,26.621
95.538,26.882
95.493,27.139
95.470,27.392
95.461,27.642
95.458,27.892
95.452,28.143
95.435,28.397
95.400,28.654
95.338,28.917
95.248,29.183
95.135,29.452
95.002,29.719
94.852,29.981
94.690,30.237
94.519,30.484
94.344,30.717
94.167,30.936
93.991,31.139
93.818,31.332
93.648,31.521
93.480,31.712
93.315,31.912
93.155,32.126
92.998,32.362
92.845,32.624
92.696,32.914
92.550,33.225
92.406,33.549
92.262,33.879
92.118,34.209
91.973,34.531
91.825,34.838
91.674,35.123
91.518,35.378
91.356,35.598
91.187,35.783
91.007,35.939
90.814,36.074
90.605,36.193
90.378,36.304
90.130,36.413
89.858,36.526
89.562,36.647
89.247,36.775
88.918,36.909
88.579,37.048
88.235,37.189
87.890,37.332
87.549,37.476
87.217,37.618
86.899,37.758
86.599,37.894
86.320,38.025
86.057,38.148
85.803,38.263
85.554,38.367
85.301,38.457
85.041,38.533
84.765,38.592
84.469,38.631
84.147,38.651
83.799,38.651
83.429,38.633
83.039,38.601
82.633,38.555
82.214,38.499
81.785,38.434
81.348,38.363
80.908,38.287
80.466,38.210
80.026,38.132
79.592,38.056
79.165,37.984
78.746,37.915
78.334,37.850
77.927,37.786
77.526,37.724
77.129,37.661
76.736,37.598
76.345,37.533
75.956,37.465
75.568,37.394
75.179,37.318
74.790,37.237
74.399,37.149
74.007,37.056
73.614,36.958
73.222,36.856
72.832,36.750
72.443,36.641
72.057,36.529
71.674,36.416
71.296,36.301
70.922,36.186
70.554,36.071
70.193,35.956
69.838,35.842
69.490,35.729
69.148,35.615
68.812,35.500
68.482,35.383
68.157,35.263
67.838,35.140
67.523,35.013
67.213,34.882
66.907,34.745
66.605,34.603
66.306,34.455
66.011,34.302
65.718,34.145
65.427,33.984
65.137,33.820
64.849,33.652
64.560,33.481
64.272,33.308
63.983,33.134
63.694,32.957
63.410,32.779
63.132,32.599
62.864,32.417
62.609,32.232
62.371,32.045
62.153,31.855
61.957,31.663
61.788,31.468
61.642,31.270
61.513,31.073
61.389,30.878
61.263,30.688
61.126,30.505
60.967,30.331
60.779,30.169
60.563,30.019
60.325,29.882
60.077,29.758
59.827,29.647
59.584,29.548
59.357,29.463
59.155,29.391
58.985,29.330
58.842,29.270
58.720,29.202
58.612,29.113
58.511,28.995
58.417,28.844
58.328,28.669
58.246,28.474
58.171,28.266
58.104,28.051
58.045,27.835
57.989,27.624
57.930,27.423
57.861,27.236
57.776,27.070
57.666,26.929
57.530,26.817
57.378,26.723
57.229,26.635
57.100,26.541
57.007,26.427
56.962,26.285
56.954,26.121
56.970,25.945
56.996,25.765
57.018,25.591
57.028,25.426
57.028,25.268
57.023,25.112
57.016,24.952
57.011,24.786
57.009,24.613
57.009,24.440
57.011,24.272
57.013,24.116
57.014,23.977
57.014,23.852
57.014,23.737
57.013,23.625
57.012,23.512
57.012,23.398
57.013,23.284
57.018,23.169
57.037,23.051
57.085,22.924
57.175,22.784
