X,Y
71.806,64.398
71.825,64.332
71.847,64.262
71.873,64.189
71.902,64.114
71.934,64.037
71.968,63.958
72.005,63.877
72.045,63.795
72.087,63.711
72.131,63.627
72.176,63.542
72.223,63.457
72.271,63.372
72.321,63.287
72.371,63.202
72.422,63.119
72.474,63.036
72.526,62.955
72.578,62.875
72.629,62.797
72.681,62.721
72.732,62.648
72.782,62.577
72.832,62.508
72.882,62.442
72.931,62.378
72.981,62.316
73.031,62.256
73.082,62.198
73.133,62.142
73.185,62.087
73.238,62.034
73.292,61.983
73.348,61.932
73.406,61.883
73.465,61.835
73.526,61.787
73.589,61.741
73.655,61.695
73.723,61.650
73.794,61.605
73.868,61.561
73.944,61.517
74.022,61.474
74.103,61.431
74.186,61.388
74.271,61.345
74.358,61.302
74.446,61.259
74.536,61.217
74.627,61.174
74.719,61.132
74.812,61.089
74.906,61.046
75.001,61.004
75.096,60.960
75.191,60.917
75.287,60.873
75.382,60.829
75.478,60.785
75.573,60.740
75.667,60.695
75.761,60.649
75.854,60.602
75.946,60.555
76.037,60.508
76.128,60.460
76.217,60.411
76.306,60.362
76.394,60.312
76.482,60.263
76.569,60.213
76.656,60.163
76.743,60.113
76.829,60.063
76.916,60.013
77.003,59.963
77.090,59.913
77.177,59.863
77.265,59.814
77.353,59.765
77.442,59.717
77.531,59.669
77.621,59.621
77.713,59.574
77.805,59.528
77.898,59.483
77.993,59.438
78.088,59.395
78.185,59.352
78.284,59.310
78.384,59.269
78.485,59.229
78.587,59.190
78.690,59.152
78.794,59.114
78.899,59.078
79.005,59.042
79.112,59.007
79.220,58.973
79.328,58.940
79.437,58.908
79.546,58.876
79.656,58.845
79.767,58.815
79.878,58.786
79.989,58.758
80.101,58.730
80.213,58.703
80.325,58.677
80.437,58.651
80.549,58.626
80.661,58.602
80.773,58.579
80.884,58.556
80.996,58.534
81.107,58.513
81.218,58.492
81.329,58.472
81.439,58.453
81.548,58.434
81.657,58.416
81.765,58.399
81.872,58.383
81.979,58.368
82.084,58.354
82.189,58.341
82.292,58.328
82.394,58.317
82.495,58.306
82.594,58.297
82.692,58.288
82.789,58.281
82.884,58.275
82.977,58.270
83.069,58.266
83.159,58.263
83.247,58.262
83.333,58.262
83.416,58.263
83.498,58.265
83.578,58.269
83.655,58.274
83.731,58.281
83.803,58.291
83.874,58.303
83.942,58.318
