X,Y
764.000,315.000
764.239,313.498
764.612,311.947
765.114,310.347
765.741,308.702
766.487,307.015
767.347,305.286
768.315,303.519
769.386,301.716
770.555,299.879
771.817,298.010
773.166,296.112
774.598,294.187
776.107,292.237
777.687,290.264
779.334,288.272
781.042,286.262
782.807,284.236
784.622,282.197
786.483,280.146
788.384,278.088
790.320,276.022
792.286,273.953
794.276,271.882
796.286,269.811
798.310,267.743
800.343,265.680
802.380,263.624
804.415,261.578
806.448,259.542
808.480,257.516
810.511,255.500
812.544,253.493
814.578,251.495
816.615,249.507
818.657,247.527
820.704,245.556
822.757,243.593
824.818,241.638
826.887,239.692
828.966,237.752
831.056,235.821
833.158,233.896
835.273,231.979
837.402,230.068
839.547,228.164
841.707,226.266
843.886,224.375
846.082,222.489
848.299,220.609
850.536,218.734
852.795,216.864
855.077,215.000
857.383,213.140
859.714,211.284
862.072,209.433
864.457,207.586
866.870,205.743
869.313,203.903
871.787,202.067
874.293,200.234
876.831,198.404
879.403,196.576
882.007,194.752
884.642,192.931
887.307,191.113
890.000,189.299
892.721,187.489
895.469,185.682
898.242,183.880
901.039,182.083
903.859,180.290
906.701,178.502
909.563,176.719
912.445,174.941
915.346,173.168
918.264,171.402
921.198,169.641
924.147,167.886
927.110,166.137
930.086,164.394
933.074,162.659
936.071,160.930
939.079,159.208
942.094,157.493
945.116,155.786
948.145,154.086
951.178,152.394
954.214,150.710
957.254,149.035
960.294,147.368
963.335,145.709
966.374,144.059
969.412,142.418
972.446,140.787
975.476,139.164
978.501,137.552
981.518,135.949
984.528,134.356
987.529,132.774
990.520,131.201
993.501,129.640
996.472,128.090
999.434,126.551
1002.387,125.024
1005.333,123.510
1008.272,122.009
1011.204,120.522
1014.130,119.048
1017.051,117.588
1019.967,116.143
1022.880,114.714
1025.789,113.300
1028.695,111.902
1031.599,110.520
1034.502,109.156
1037.404,107.809
1040.306,106.480
1043.208,105.169
1046.111,103.877
1049.016,102.605
1051.924,101.352
1054.834,100.119
1057.749,98.906
1060.667,97.715
1063.590,96.545
1066.519,95.397
1069.454,94.271
1072.396,93.168
1075.346,92.088
1078.303,91.032
1081.269,90.001
1084.245,88.993
1087.231,88.011
1090.227,87.054
1093.234,86.123
1096.254,85.219
1099.285,84.341
1102.330,83.490
1105.385,82.665
1108.453,81.866
1111.531,81.092
1114.619,80.342
1117.717,79.617
1120.824,78.916
1123.940,78.239
1127.065,77.584
1130.197,76.952
1133.336,76.342
1136.482,75.753
1139.634,75.186
1142.792,74.640
1145.955,74.114
1149.123,73.607
1152.295,73.120
1155.470,72.653
1158.649,72.203
1161.830,71.772
1165.014,71.358
