X,Y
773.000,349.000
774.031,348.198
775.213,347.468
776.540,346.808
778.008,346.215
779.612,345.688
781.347,345.224
783.209,344.819
785.192,344.473
787.293,344.182
789.505,343.944
791.825,343.756
794.248,343.616
796.769,343.522
799.383,343.471
802.086,343.461
804.873,343.488
807.738,343.552
810.678,343.649
813.688,343.777
816.762,343.934
819.896,344.116
823.086,344.322
826.326,344.550
829.612,344.795
832.939,345.058
836.303,345.334
839.698,345.621
843.120,345.917
846.564,346.220
850.026,346.527
853.500,346.835
856.981,347.142
860.466,347.447
863.950,347.745
867.427,348.035
870.894,348.315
874.350,348.586
877.796,348.848
881.230,349.102
884.654,349.348
888.066,349.587
891.467,349.819
894.856,350.047
898.234,350.269
901.599,350.487
904.953,350.701
908.295,350.912
911.624,351.122
914.941,351.329
918.246,351.536
921.537,351.742
924.816,351.948
928.082,352.156
931.335,352.366
934.574,352.577
937.801,352.792
941.013,353.011
944.212,353.233
947.397,353.461
950.568,353.695
953.725,353.935
956.868,354.182
959.996,354.436
963.110,354.699
966.209,354.971
969.293,355.253
972.362,355.545
975.416,355.848
978.455,356.163
981.479,356.490
984.486,356.830
987.479,357.184
990.455,357.552
993.415,357.935
996.359,358.333
999.287,358.748
1002.199,359.180
1005.094,359.630
1007.972,360.099
1010.834,360.588
1013.679,361.098
1016.508,361.631
1019.320,362.188
1022.115,362.769
1024.894,363.376
1027.655,364.010
1030.400,364.673
1033.128,365.364
1035.839,366.087
1038.533,366.841
1041.210,367.628
1043.870,368.449
1046.513,369.305
1049.139,370.197
1051.748,371.127
1054.339,372.096
1056.914,373.104
1059.471,374.153
1062.011,375.244
1064.534,376.379
1067.039,377.558
1069.527,378.782
1071.998,380.054
1074.451,381.373
1076.886,382.741
1079.304,384.159
1081.705,385.628
1084.088,387.150
1086.453,388.726
1088.801,390.356
1091.131,392.042
1093.443,393.786
1095.738,395.587
1098.014,397.447
1100.272,399.363
1102.510,401.334
1104.729,403.357
1106.926,405.431
1109.101,407.554
1111.255,409.723
1113.385,411.938
1115.491,414.195
1117.573,416.493
1119.630,418.829
1121.661,421.203
1123.665,423.612
1125.642,426.055
1127.591,428.528
1129.511,431.030
1131.402,433.560
1133.262,436.116
1135.092,438.694
1136.889,441.295
1138.655,443.914
1140.387,446.552
1142.086,449.205
1143.750,451.872
1145.378,454.550
1146.971,457.238
1148.527,459.935
1150.046,462.637
1151.526,465.343
1152.968,468.051
1154.370,470.760
1155.732,473.466
1157.053,476.169
1158.333,478.866
1159.570,481.556
1160.763,484.236
1161.913,486.904
1163.018,489.559
1164.078,492.199
1165.093,494.821
1166.061,497.428
1166.983,500.021
1167.859,502.601
1168.690,505.169
1169.474,507.727
1170.213,510.275
1170.906,512.816
1171.553,515.351
1172.154,517.882
1172.710,520.408
1173.219,522.933
1173.683,525.456
1174.101,527.981
1174.474,530.507
1174.800,533.037
1175.081,535.571
1175.317,538.111
1175.506,540.659
1175.650,543.215
1175.748,545.782
1175.801,548.360
1175.807,550.951
1175.769,553.556
1175.684,556.177
1175.555,558.814
1175.379,561.470
1175.158,564.146
1174.891,566.842
1174.579,569.561
1174.222,572.304
1173.818,575.072
1173.370,577.866
1172.876,580.688
1172.337,583.538
1171.753,586.416
1171.126,589.319
1170.456,592.245
1169.745,595.195
1168.992,598.165
1168.200,601.155
1167.369,604.162
1166.500,607.186
1165.593,610.225
1164.650,613.278
1163.671,616.342
1162.658,619.417
1161.611,622.501
1160.531,625.592
1159.419,628.690
1158.276,631.791
1157.103,634.896
1155.900,638.002
1154.669,641.108
1153.410,644.212
1152.125,647.313
1150.814,650.410
1149.478,653.500
1148.118,656.583
1146.734,659.657
1145.329,662.720
1143.902,665.771
1142.454,668.808
1140.988,671.830
1139.502,674.836
1137.998,677.824
1136.478,680.792
1134.941,683.738
1133.389,686.662
1131.823,689.562
1130.243,692.437
1128.651,695.284
1127.047,698.102
1125.432,700.890
1123.808,703.647
1122.174,706.370
1120.532,709.060
1118.879,711.717
1117.216,714.341
1115.540,716.932
1113.852,719.492
1112.151,722.020
1110.434,724.517
1108.703,726.983
1106.955,729.420
1105.190,731.826
1103.406,734.204
1101.604,736.553
1099.781,738.873
1097.937,741.166
1096.072,743.431
1094.184,745.669
1092.272,747.880
1090.335,750.066
1088.373,752.226
1086.384,754.360
1084.368,756.470
1082.324,758.556
1080.251,760.617
1078.147,762.656
1076.013,764.671
1073.846,766.664
1071.647,768.635
1069.414,770.584
1067.146,772.512
1064.843,774.419
1062.503,776.306
1060.125,778.173
1057.709,780.021
1055.254,781.850
1052.759,783.660
1050.223,785.453
1047.644,787.227
1045.023,788.985
1042.358,790.725
